,Member_number,Date,productId,items,productName,price,Category,order_id,gross_sales,Recency,Frequency,Monetary,Cluster
0,1808,2015-07-21,1,3,tropical fruit,7.8,Fresh Food,1,23.4,162,10,109.8,4
1,2552,2015-01-05,2,1,whole milk,1.8,Dairy,2,1.8,359,13,119.52,3
2,2300,2015-09-19,3,3,pip fruit,3.0,Fresh Food,3,9.0,102,10,107.3,2
3,1187,2015-12-12,4,3,other vegetables,0.8,Fresh Food,4,2.4000000000000004,18,7,14.77,2
4,3037,2015-02-01,2,1,whole milk,1.8,Dairy,5,1.8,310,5,21.1,3
5,4941,2015-02-14,5,1,rolls/buns,1.2,Bakery & Sweets,6,1.2,319,26,194.04,3
6,4501,2015-05-08,4,3,other vegetables,0.8,Fresh Food,7,2.4000000000000004,198,13,73.22,4
7,3803,2015-12-23,6,2,pot plants,3.5,Household & Hygiene,8,7.0,7,19,142.05,0
8,2762,2015-03-20,2,3,whole milk,1.8,Dairy,9,5.4,12,9,82.35,2
9,4119,2015-02-12,1,3,tropical fruit,7.8,Fresh Food,10,23.4,235,9,91.8,4
10,1340,2015-02-24,7,3,citrus fruit,1.5,Fresh Food,11,4.5,42,14,82.7,2
11,2193,2015-04-14,8,3,beef,19.5,Fresh Food,12,58.5,91,27,361.45,0
12,1997,2015-07-21,9,1,frankfurter,5.5,Fresh Food,13,5.5,2,21,150.12,0
13,4546,2015-09-03,10,3,chicken,7.2,Fresh Food,14,21.6,118,11,127.7,0
14,4736,2015-07-21,11,2,butter,3.2,Dairy,15,6.4,162,11,122.6,4
15,1959,2015-03-30,12,1,fruit/vegetable juice,2.1,Beverages,16,2.1,17,19,160.6,0
16,1974,2015-05-03,13,2,packaged fruit/vegetables,3.5,Fresh Food,17,7.0,241,5,76.6,4
17,2421,2015-09-02,14,2,chocolate,11.5,Bakery & Sweets,18,23.0,38,21,150.3,0
18,1513,2015-08-03,15,2,specialty bar,5.2,Bakery & Sweets,19,10.4,48,10,115.8,2
19,1905,2015-07-07,4,2,other vegetables,0.8,Fresh Food,20,1.6,73,26,253.51,0
20,2810,2015-09-08,16,1,butter milk,6.1,Dairy,21,6.1,0,17,171.4,0
21,2867,2015-11-12,2,1,whole milk,1.8,Dairy,22,1.8,7,15,98.22,2
22,3962,2015-09-18,1,2,tropical fruit,7.8,Fresh Food,23,15.6,101,14,119.65,2
23,1088,2015-11-30,1,2,tropical fruit,7.8,Fresh Food,24,15.6,30,9,58.75,2
24,4976,2015-07-17,17,1,bottled water,0.5,Beverages,25,0.5,166,7,88.4,4
25,4056,2015-06-12,18,1,yogurt,2.2,Dairy,26,2.2,71,16,134.45,0
26,3611,2015-02-13,19,1,sausage,3.1,Fresh Food,27,3.1,320,7,49.15,3
27,1420,2015-01-14,4,3,other vegetables,0.8,Fresh Food,28,2.4000000000000004,22,11,82.35,2
28,4286,2015-03-08,20,3,brown bread,0.8,Bakery & Sweets,29,2.4000000000000004,109,13,79.8,2
29,4918,2015-01-27,18,3,yogurt,2.2,Dairy,30,6.6000000000000005,337,5,17.7,3
30,4783,2015-10-22,21,2,hamburger meat,12.3,Fresh Food,31,24.6,69,21,190.16,0
